ENSG00000000005;ENSG00000000457;ENSG00000000938;ENSG00000001036;ENSG00000001084;ENSG00000001167;ENSG00000001460;ENSG00000001461;Y
6;1194;112;5532;788;2216;578;1036;1
12;876;156;3520;1043;1433;521;2934;1
0;937;449;2388;2123;3847;523;2929;0
8;821;128;7154;1621;947;485;1371;0
184;632;232;5147;2198;1158;727;2973;1
25;1092;115;3199;1929;1923;1032;2533;0
0;582;92;3584;2404;1256;942;4058;1
0;893;211;4721;639;2367;566;1159;1
5;1231;512;2190;997;3027;909;3396;0
32;529;155;4153;2179;1914;341;1328;0
3;814;155;2526;2363;2290;724;2740;1
4;872;30;3200;2796;2443;659;2070;1
3;722;520;6044;1704;2344;1029;1814;0
78;800;45;2337;6088;2037;971;1340;1
0;958;64;2641;832;1454;622;1766;0
7;772;421;4493;1302;1993;824;2161;1
17;1556;270;4573;1881;1404;640;2387;1
27;983;31;2447;1889;2839;835;2296;1
3;1390;223;5015;2049;1675;874;2159;1
42;1603;188;2113;2936;1324;467;1412;1
81;813;50;1600;1275;2340;1296;4244;1
16;1153;20;2095;2232;2048;1000;1909;1
7;1209;823;3897;1918;1509;1091;3490;1
11;1449;234;3350;1262;1410;1302;3175;1
44;1003;86;6883;1378;3055;1050;2248;1
4;1123;222;3522;1227;2010;668;1658;1
0;1087;146;2855;1887;2791;769;3546;1
0;885;570;1833;1903;3125;320;2306;1
13;944;265;7341;1610;2288;370;1488;1
4;823;319;2752;1364;2407;746;1765;0
0;677;612;6442;2211;3101;589;3542;0
2;716;343;2224;1530;2433;534;1536;0
17;714;203;3775;2119;2614;543;1025;0
4;874;324;2798;1318;1382;807;3255;0
3;811;251;5582;1717;1805;693;3222;0
0;608;312;10668;4845;1356;918;1413;0
0;1873;272;2407;1437;1811;917;4226;1
10;1321;102;4151;1091;4298;508;615;1
4;2173;309;4620;2282;2182;728;3128;0
0;721;218;3239;2089;2327;948;2306;0
9;967;124;4583;1824;5845;1383;2079;1
0;1922;313;2062;573;828;555;1236;0
60;968;61;2807;1070;1460;1057;2685;1
17;871;104;4093;1743;1940;855;2038;1
0;736;181;5630;2800;908;708;1670;1
1320;857;75;3723;2893;3598;616;1484;1
28;798;140;2707;1615;1132;1342;2073;1
11;698;190;4004;1450;1234;891;936;1
13;1296;43;1141;2131;1748;1258;1495;1
25;1191;243;1689;1686;2039;511;4579;1
2;1243;137;2966;2696;950;1427;4666;1
6;963;201;5259;1508;1403;718;3311;1
12;474;272;8373;2134;971;331;1203;1
2;909;221;1357;798;1055;1408;3523;1
0;885;161;4801;1224;1102;788;2769;1
2570;827;114;4843;902;1753;703;1508;1
0;1257;154;1487;2563;1857;1077;2305;0
1;859;463;3218;834;510;906;4524;1
18;396;221;5655;2525;1300;473;1239;1
31;679;1291;6625;1733;838;383;2261;1
0;540;522;7742;3390;1260;614;1682;1
30;1004;229;3695;1097;1140;1442;4045;0
